JarHC Report for jarhc-check 1.0.0-SNAPSHOT
===========================================

JAR Files
---------
List of JAR files found in classpath.

JAR file                                                       | Size    | Classes | Resources | Checksum (SHA-1)                         | Artifact coordinates
---------------------------------------------------------------+---------+---------+-----------+------------------------------------------+----------------------------------------------------------------------------
jarhc-check-1.0.0-SNAPSHOT.jar                                 | 7.40 KB | 4       | 0         | 6aeccb8926f3bd5a5d5ed8e4d289e45969a9f78d | [unknown]
shared-1.0.0-SNAPSHOT.jar                                      | 13.9 KB | 9       | 1         | eca6058c542c8d973cc9e2b96e5d651f62d782a2 | [unknown]
jarhc-2.2.0.jar                                                | 226 KB  | 130     | 6         | 42fde2992a489af081dacdf8c1337247060aaabe | org.jarhc:jarhc:2.2.0
slf4j-simple-2.0.13.jar                                        | 15.3 KB | 6       | 0         | be11a3f05f7cf546524b07ad252719d840f4daed | org.slf4j:slf4j-simple:2.0.13
jul-to-slf4j-2.0.13.jar                                        | 6.20 KB | 1       | 0         | a3bcd9d9dd50c71ce69f06b1fd05e40fdeff6ba5 | org.slf4j:jul-to-slf4j:2.0.13
aether-transport-http-1.1.0.jar                                | 35.8 KB | 20      | 1         | 5beffae29e88251ac419bf96dd1426babdb6a66f | org.eclipse.aether:aether-transport-http:1.1.0
jcl-over-slf4j-2.0.13.jar                                      | 18.0 KB | 8       | 0         | d062d6e35605aabee0c727a950e29d39ac0a262e | org.slf4j:jcl-over-slf4j:2.0.13
url-connection-client-2.26.12.jar                              | 32.3 KB | 13      | 0         | 48e8086c7f82fb70825d7863fc8488e6764b621a | software.amazon.awssdk:url-connection-client:2.26.12
lambda-2.26.12.jar                                             | 2.16 MB | 1282    | 0         | 8e1647e9f5eac5755438ef59d1eb7d7d96556aaa | software.amazon.awssdk:lambda:2.26.12
s3-2.26.12.jar                                                 | 3.42 MB | 2077    | 1         | f0d9b5e40a092790d00e7d21aa0fba083b73d310 | software.amazon.awssdk:s3:2.26.12
aws-json-protocol-2.26.12.jar                                  | 112 KB  | 86      | 0         | 2d3b56fe4286d10ddb18632ecdf031529e4ffbd0 | software.amazon.awssdk:aws-json-protocol:2.26.12
aws-xml-protocol-2.26.12.jar                                   | 99.1 KB | 63      | 0         | 8f14c7c0e0163a89a1dd3f1bfd2ca2f6f5b8b18c | software.amazon.awssdk:aws-xml-protocol:2.26.12
aws-query-protocol-2.26.12.jar                                 | 66.5 KB | 44      | 0         | 2c05935dbef764834851c2423fe1b9156315f28b | software.amazon.awssdk:aws-query-protocol:2.26.12
